PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Age_group,Cabin_Deck,Cabin_Number,Cabin_Side,Group,Group_size,alone,LastName,FirstName,Family_size,Expenditure,spending
0001_01,Europa,False,B/1053/S,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,Age_31-50,B,0,P,1,1,1,Ofracculy,Maham,4,0.0,0
0002_01,Earth,False,B/1053/S,TRAPPIST-1e,24.0,False,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,Juanna Vines,True,Age_18-25,F,0,S,2,1,1,Vines,Juanna,4,736.0,1
0003_01,Europa,False,B/1053/S,TRAPPIST-1e,58.0,True,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,Altark Susent,False,Age_51+,A,0,S,3,2,0,Susent,Altark,7,10383.0,1
0003_02,Europa,False,B/1053/S,TRAPPIST-1e,33.0,False,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,Solam Susent,False,Age_31-50,A,0,S,3,2,0,Susent,Solam,7,5176.0,1
0004_01,Earth,False,B/1053/S,TRAPPIST-1e,16.0,False,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,Willy Santantines,True,Age_13-17,F,1,S,4,1,1,Santantines,Willy,9,1091.0,1
0005_01,Earth,False,B/1053/S,PSO J318.5-22,44.0,False,0.0,6.182084906716632,0.0,5.676753802268282,0.0,Sandie Hinetthews,True,Age_31-50,F,0,P,5,1,1,Hinetthews,Sandie,10,774.0,1
0006_01,Earth,False,B/1053/S,TRAPPIST-1e,26.0,False,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,Billex Jacostaffey,True,Age_26-30,F,2,S,6,2,0,Jacostaffey,Billex,9,1584.0,1
0006_02,Earth,True,B/1053/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,Age_26-30,G,0,S,6,2,0,Jacostaffey,Candra,9,0.0,0
0007_01,Earth,False,B/1053/S,TRAPPIST-1e,35.0,False,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,Andona Beston,True,Age_31-50,F,3,S,7,1,1,Beston,Andona,5,1018.0,1
0008_01,Europa,True,B/1053/S,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,Age_13-17,B,1,P,8,3,0,Flatic,Erraiam,3,0.0,0
0008_02,Europa,True,B/1053/S,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,Age_31-50,B,1,P,8,3,0,Flatic,Altardr,3,0.0,0
0008_03,Europa,False,B/1053/S,55 Cancri e,45.0,False,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,Wezena Flatic,True,Age_31-50,B,1,P,8,3,0,Flatic,Wezena,3,8157.0,1
0009_01,Mars,False,B/1053/S,TRAPPIST-1e,32.0,False,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,Berers Barne,True,Age_31-50,F,1,P,9,1,1,Barne,Berers,5,1309.0,1
0010_01,Earth,False,B/1053/S,TRAPPIST-1e,48.0,False,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,Reney Baketton,False,Age_31-50,G,1,S,10,1,1,Baketton,Reney,6,809.0,1
0011_01,Earth,False,B/1053/S,TRAPPIST-1e,28.0,False,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,Elle Bertsontry,True,Age_26-30,F,2,P,11,1,1,Bertsontry,Elle,9,1003.0,1
0012_01,Earth,False,B/1053/S,TRAPPIST-1e,31.0,False,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,Justie Pooles,False,Age_31-50,B,1053,S,12,1,1,Pooles,Justie,12,908.0,1
0014_01,Mars,False,B/1053/S,55 Cancri e,27.0,False,7.160069207596127,4.812184355372417,5.72342537618889,0.0,0.0,Flats Eccle,False,Age_26-30,F,3,P,14,1,1,Eccle,Flats,2,1712.951127819549,1
0015_01,Earth,False,B/1053/S,55 Cancri e,24.0,False,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,Carry Hughriend,False,Age_18-25,F,4,P,15,1,1,Hughriend,Carry,9,638.0,1
0016_01,Mars,True,B/1053/S,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,Age_31-50,F,5,P,16,1,1,Upead,Alus,7,0.0,0
0017_01,Earth,False,B/1053/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,Age_0-12,G,0,P,17,2,0,Brighttt,Lyde,8,0.0,0
0017_02,Earth,False,B/1053/S,55 Cancri e,14.0,False,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,Philda Brighttt,False,Age_13-17,F,6,P,17,2,0,Brighttt,Philda,8,1092.0,1
0020_01,Earth,True,B/1053/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,Age_0-12,E,0,S,20,6,0,Brantuarez,Almary,8,0.0,0
0020_02,Earth,True,B/1053/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,Age_31-50,E,0,S,20,6,0,Brantuarez,Glendy,8,0.0,0
0020_03,Earth,True,B/1053/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,Age_26-30,E,0,S,20,6,0,Mcfaddennon,Mollen,7,0.0,0
0020_04,Earth,False,B/1053/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,Age_0-12,E,0,S,20,6,0,Jacostanley,Breney,6,0.0,0
0020_05,Earth,True,B/1053/S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,Age_0-12,E,0,S,20,6,0,Brantuarez,Mael,8,0.0,0
0020_06,Earth,False,B/1053/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,Age_0-12,E,0,S,20,6,0,Mcfaddennon,Terta,7,0.0,0
0022_01,Mars,False,B/1053/S,TRAPPIST-1e,21.0,False,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,BubbixMoranthons,False,Age_18-25,D,0,P,22,1,1,Moranthons,Unknown,5,1051.0,1
0024_01,Europa,True,B/1053/S,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,Age_51+,C,2,S,24,1,1,Fullided,Penton,1,0.0,0
0025_01,Earth,False,B/1053/S,TRAPPIST-1e,15.0,False,0.0,5.420534999272286,0.0,6.906754778648554,0.0,Karard Brookenson,False,Age_13-17,F,6,S,25,1,1,Brookenson,Karard,6,1223.0,1
0026_01,Europa,False,B/1053/S,55 Cancri e,34.0,False,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,Anyoni Unconary,False,Age_31-50,C,0,P,26,1,1,Unconary,Anyoni,2,7861.0,1
0028_01,Mars,False,B/1053/S,TRAPPIST-1e,43.0,False,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,Ceros Mare,False,Age_31-50,F,8,P,28,1,1,Mare,Ceros,5,1309.0,1
0030_01,Earth,False,B/1053/S,TRAPPIST-1e,32.0,False,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,Ginia Morsentley,False,Age_31-50,G,4,S,30,1,1,Morsentley,Ginia,4,1821.0,1
0031_01,Mars,False,B/1053/S,TRAPPIST-1e,47.0,False,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,Coobix Datie,True,Age_31-50,F,9,P,31,3,0,Datie,Coobix,5,2854.0,1
0031_02,Mars,False,B/1053/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,Age_0-12,F,9,P,31,3,0,Datie,Cinets,5,0.0,0
0031_03,Mars,False,B/1053/S,TRAPPIST-1e,20.0,False,6.3295706809366585,0.0,7.467942332285852,6.898714534329988,0.0,Dontch Datie,True,Age_18-25,F,9,P,31,3,0,Datie,Dontch,5,3299.9157303370785,1
0034_01,Europa,True,B/1053/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,Age_26-30,D,1,S,34,1,1,Oingwhedly,Ziba,1,0.0,0
0035_01,Mars,False,B/1053/S,55 Cancri e,23.0,False,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,Luse Butte,False,Age_18-25,D,1,P,35,1,1,Butte,Luse,6,2699.0,1
0036_01,Earth,False,B/1053/S,55 Cancri e,15.0,False,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,Marina Leodger,False,Age_13-17,F,8,S,36,1,1,Leodger,Marina,7,961.0,1
0038_01,Earth,False,B/1053/S,55 Cancri e,20.0,False,6.318968113746434,5.278114659230517,0.0,7.865955413933502,0.0,Loise Wheelez,False,Age_18-25,F,10,S,38,1,1,Wheelez,Loise,7,3355.0,1
0039_01,Earth,True,B/1053/S,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,Age_26-30,G,1,P,39,1,1,Batthewitt,Jorgie,2,0.0,0
0041_01,Earth,True,B/1053/S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,Age_13-17,G,2,P,41,1,1,Moodsey,Margia,11,0.0,0
